Date,Ticker,Close,Daily_Return,Log_Return,Rolling_Vol_21d,Cumulative_Return,Sector,MarketCap_BN,Is_Outlier
2025-01-02,AAPL,242.525146484375,,,,0.0,Technology,3644.938780672,False
2025-01-03,AAPL,242.03781127929688,-0.002009421341013451,-0.002011442936688612,,-0.002009421341013451,Technology,3644.938780672,False
2025-01-06,AAPL,243.6688995361328,0.006738981187339288,0.0067163757551764415,,0.004716018393711163,Technology,3644.938780672,False
2025-01-07,AAPL,240.89407348632812,-0.011387690653534621,-0.011453026895609928,,-0.006725376818407347,Technology,3644.938780672,False
2025-01-08,AAPL,241.3814239501953,0.0020230903019491375,0.00202104661068134,,-0.004715892561076629,Technology,3644.938780672,False
2025-01-10,AAPL,235.5631866455078,-0.024103914913883306,-0.02439916843604944,,-0.02870613600192473,Technology,3644.938780672,False
2025-01-13,AAPL,233.12648010253906,-0.010344173797562362,-0.010398046598444635,,-0.03875336853962674,Technology,3644.938780672,False
2025-01-14,AAPL,232.01258850097656,-0.004778056963209654,-0.00478950836892191,,-0.04334625970043782,Technology,3644.938780672,False
2025-01-15,AAPL,236.57763671875,0.019675864345413352,0.019484796739882716,,-0.024523270480771298,Technology,3644.938780672,False
2025-01-16,AAPL,227.0198516845703,-0.040400205052104066,-0.041238961701597514,,-0.06393273037690395,Technology,3644.938780672,False
2025-01-17,AAPL,228.7305145263672,0.007535300675703516,0.007507052116405549,0.27518447211219055,-0.056879182047609,Technology,3644.938780672,False
2025-01-21,AAPL,221.43038940429688,-0.03191583395502218,-0.03243624709178038,0.29041216895071986,-0.08697966947290214,Technology,3644.938780672,False
2025-01-22,AAPL,222.6139373779297,0.005345011481110884,0.005330777604871423,0.2838274802733439,-0.08209956532374718,Technology,3644.938780672,False
2025-01-23,AAPL,222.44483947753906,-0.000759601588212977,-0.0007598902316779974,0.27319160619668514,-0.08279680395174871,Technology,3644.938780672,False
2025-01-24,AAPL,221.5696258544922,-0.003934519789726365,-0.003942280375521504,0.2627249450630764,-0.08640555807780081,Technology,3644.938780672,False
2025-01-27,AAPL,228.6111602783203,0.031780233399195223,0.0312856922492833,0.29668703122811807,-0.05737131348130575,Technology,3644.938780672,False
2025-01-28,AAPL,236.9655303955078,0.03654401695445042,0.03589211890416014,0.3273262274474685,-0.022923874779415376,Technology,3644.938780672,False
2025-01-29,AAPL,238.05953979492188,0.004616744880945767,0.004606120402086945,0.31778865278209345,-0.01841296358000888,Technology,3644.938780672,False
2025-01-30,AAPL,236.29916381835938,-0.007394687808264244,-0.0074221640480985306,0.3092084094789892,-0.025671493270974066,Technology,3644.938780672,False
2025-01-31,AAPL,234.71778869628906,-0.006692258645848992,-0.006714752220119264,0.30110883347863276,-0.03219195164402855,Technology,3644.938780672,False
2025-02-03,AAPL,226.77120971679688,-0.03385588720663435,-0.034442270810307554,0.3152526254672466,-0.06495795176684116,Technology,3644.938780672,False
2025-02-04,AAPL,231.5352020263672,0.021007923869700296,0.02079030004340246,0.3184537662336478,-0.04531465960259029,Technology,3644.938780672,False
