Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2025-01-02,242.525146484375,220.22000122070312,188.5582733154297,414.568603515625,138.26470947265625
2025-01-03,242.03781127929688,224.19000244140625,190.90740966796875,419.29290771484375,144.4226837158203
2025-01-06,243.6688995361328,227.61000061035156,195.96401977539062,423.749755859375,149.38104248046875
2025-01-07,240.89407348632812,222.11000061035156,194.59039306640625,418.322265625,140.09408569335938
2025-01-08,241.3814239501953,222.1300048828125,193.05746459960938,420.4913024902344,140.06410217285156
2025-01-10,235.5631866455078,218.94000244140625,191.15625,414.9350280761719,135.86549377441406
2025-01-13,233.12648010253906,218.4600067138672,190.1309814453125,413.1919250488281,133.18637084960938
2025-01-14,232.01258850097656,217.75999450683594,188.78721618652344,411.68646240234375,131.71682739257812
2025-01-15,236.57763671875,223.35000610351562,194.65011596679688,422.22454833984375,136.1953887939453
2025-01-16,227.0198516845703,220.66000366210938,192.0222625732422,420.51104736328125,133.5262451171875
2025-01-17,228.7305145263672,225.94000244140625,195.09800720214844,424.91845703125,137.66490173339844
2025-01-21,221.43038940429688,230.7100067138672,197.1385955810547,424.3935546875,140.78387451171875
2025-01-22,222.6139373779297,235.00999450683594,197.45712280273438,441.9239196777344,147.0218505859375
2025-01-23,222.44483947753906,235.4199981689453,197.06890869140625,442.42901611328125,147.17178344726562
2025-01-24,221.5696258544922,234.85000610351562,199.28866577148438,439.804443359375,142.57327270507812
2025-01-27,228.6111602783203,235.4199981689453,190.92730712890625,430.3954772949219,118.3812026977539
2025-01-28,236.9655303955078,238.14999389648438,194.40126037597656,442.914306640625,128.94776916503906
2025-01-29,238.05953979492188,237.07000732421875,194.51077270507812,438.0909729003906,123.65948486328125
2025-01-30,236.29916381835938,234.63999938964844,199.9456329345703,411.0130310058594,124.60917663574219
2025-01-31,234.71778869628906,237.67999267578125,203.08114624023438,411.08233642578125,120.03067016601562
2025-02-03,226.77120971679688,237.4199981689453,200.303955078125,406.9820556640625,116.62179565429688
2025-02-04,231.5352020263672,242.05999755859375,205.43028259277344,408.4180603027344,118.61113739013672
2025-02-05,231.2069854736328,236.1699981689453,190.44952392578125,409.32928466796875,124.78911590576172
2025-02-06,231.9529266357422,238.8300018310547,190.71829223632812,411.83502197265625,128.63784790039062
2025-02-07,226.39328002929688,229.14999389648438,184.48709106445312,405.8232116699219,129.79745483398438
2025-02-10,226.662109375,233.13999938964844,185.61190795898438,408.2695617675781,133.5262451171875
2025-02-11,231.6105194091797,232.75999450683594,184.46717834472656,407.4970397949219,132.7565155029297
2025-02-12,235.84210205078125,228.92999267578125,182.76504516601562,405.1199951171875,131.0970458984375
2025-02-13,240.4818878173828,230.3699951171875,185.2834014892578,406.60565185546875,135.2456817626953
